field,G;intensity,a.u.
3019;2310
3019.1;2306
3019.2;2302
3019.3;2300
3019.4;2294
3019.5;2291
3019.6;2288
3019.7;2285
3019.8;2280
3019.9;2279
3020;2277
3020.1;2275
3020.2;2278
3020.3;2280
3020.4;2281
3020.5;2280
3020.6;2279
3020.7;2286
3020.8;2289
3020.9;2292
3021;2296
3021.1;2299
3021.2;2302
3021.3;2304
3021.4;2307
3021.5;2309
3021.6;2315
3021.7;2316
3021.8;2320
3021.9;2323
3022;2327
3022.1;2331
3022.2;2332
3022.3;2336
3022.4;2341
3022.5;2344
3022.6;2345
3022.7;2348
3022.8;2350
3022.9;2349
3023.01;2354
3023.11;2358
3023.21;2361
3023.31;2364
3023.41;2367
3023.51;2372
3023.61;2374
3023.71;2377
3023.81;2382
3023.91;2387
3024.01;2387
3024.11;2391
3024.21;2395
3024.31;2400
3024.41;2406
3024.51;2408
3024.61;2411
3024.71;2412
3024.81;2415
3024.91;2418
3025.01;2422
3025.11;2425
3025.21;2427
3025.31;2428
3025.41;2432
3025.51;2437
3025.61;2440
3025.71;2443
3025.81;2447
3025.91;2450
3026.01;2453
3026.11;2455
3026.21;2460
3026.31;2464
3026.41;2467
3026.51;2469
3026.61;2471
3026.71;2476
3026.81;2472
3026.91;2474
3027.01;2478
3027.11;2481
3027.21;2487
3027.31;2490
3027.41;2494
3027.51;2499
3027.61;2501
3027.71;2502
3027.81;2508
3027.91;2511
3028.01;2512
3028.11;2515
3028.21;2518
3028.31;2521
3028.41;2524
3028.51;2525
3028.61;2527
3028.71;2529
3028.81;2530
3028.91;2532
3029.01;2536
3029.11;2537
3029.21;2539
3029.31;2542
3029.41;2545
3029.51;2554
3029.61;2553
3029.71;2557
3029.81;2563
3029.91;2567
3030.01;2568
3030.11;2573
3030.21;2576
3030.31;2578
3030.41;2580
3030.51;2580
3030.61;2583
3030.71;2584
3030.81;2584
3030.91;2584
3031.02;2585
3031.12;2585
3031.22;2586
3031.32;2588
3031.42;2590
3031.52;2592
3031.62;2594
3031.72;2596
3031.82;2601
3031.92;2601
3032.02;2601
3032.12;2602
3032.22;2604
3032.32;2606
3032.42;2605
3032.52;2608
3032.62;2610
3032.72;2609
3032.82;2605
3032.92;2610
3033.02;2607
3033.12;2608
3033.22;2608
3033.32;2607
3033.42;2607
3033.52;2609
3033.62;2608
3033.72;2608
3033.82;2611
3033.92;2609
3034.02;2607
3034.12;2604
3034.22;2603
3034.32;2602
3034.42;2600
3034.52;2599
3034.62;2598
3034.72;2595
3034.82;2592
3034.92;2593
3035.02;2592
3035.12;2591
3035.22;2590
3035.32;2589
3035.42;2587
3035.52;2584
3035.62;2577
3035.72;2576
3035.82;2573
3035.92;2569
3036.02;2567
3036.12;2564
3036.22;2560
3036.32;2557
3036.42;2554
3036.52;2551
3036.62;2549
3036.72;2542
3036.82;2536
3036.92;2531
3037.02;2529
3037.12;2525
3037.22;2524
3037.32;2519
3037.42;2514
3037.52;2510
3037.62;2507
3037.72;2504
3037.82;2499
3037.92;2493
3038.02;2493
3038.12;2489
3038.22;2483
3038.32;2478
3038.42;2469
3038.52;2465
3038.62;2459
3038.72;2452
3038.82;2446
3038.92;2440
3039.03;2431
3039.13;2423
3039.23;2414
3039.33;2408
3039.43;2403
3039.53;2394
3039.63;2388
3039.73;2381
3039.83;2374
3039.93;2366
3040.03;2360
3040.13;2352
3040.23;2342
3040.33;2336
3040.43;2328
3040.53;2320
3040.63;2313
3040.73;2302
3040.83;2297
3040.93;2290
3041.03;2281
3041.13;2274
3041.23;2266
3041.33;2258
3041.43;2251
3041.53;2243
3041.63;2235
3041.73;2230
3041.83;2220
3041.93;2212
3042.03;2203
3042.13;2194
3042.23;2185
3042.33;2176
3042.43;2166
3042.53;2154
3042.63;2141
3042.73;2131
3042.83;2122
3042.93;2111
3043.03;2100
3043.13;2094
3043.23;2086
3043.33;2076
3043.43;2067
3043.53;2058
3043.63;2049
3043.73;2038
3043.83;2027
