field,G;intensity,a.u.
3019;2223
3019.1;2224
3019.2;2224
3019.3;2225
3019.4;2224
3019.5;2224
3019.6;2225
3019.7;2230
3019.8;2229
3019.9;2230
3020;2228
3020.1;2224
3020.2;2217
3020.3;2219
3020.4;2215
3020.5;2216
3020.6;2218
3020.7;2218
3020.8;2217
3020.9;2218
3021;2212
3021.1;2208
3021.2;2204
3021.3;2203
3021.4;2203
3021.5;2207
3021.6;2212
3021.7;2215
3021.8;2217
3021.9;2219
3022;2219
3022.1;2218
3022.2;2219
3022.3;2220
3022.4;2216
3022.5;2224
3022.6;2227
3022.7;2225
3022.8;2223
3022.9;2226
3023.01;2221
3023.11;2221
3023.21;2219
3023.31;2217
3023.41;2216
3023.51;2214
3023.61;2213
3023.71;2213
3023.81;2215
3023.91;2215
3024.01;2215
3024.11;2211
3024.21;2211
3024.31;2211
3024.41;2210
3024.51;2209
3024.61;2209
3024.71;2210
3024.81;2215
3024.91;2218
3025.01;2219
3025.11;2220
3025.21;2222
3025.31;2222
3025.41;2222
3025.51;2220
3025.61;2219
3025.71;2219
3025.81;2218
3025.91;2217
3026.01;2215
3026.11;2208
3026.21;2209
3026.31;2208
3026.41;2207
3026.51;2206
3026.61;2212
3026.71;2208
3026.81;2208
3026.91;2205
3027.01;2204
3027.11;2198
3027.21;2201
3027.31;2199
3027.41;2200
3027.51;2197
3027.61;2198
3027.71;2196
3027.81;2196
3027.91;2191
3028.01;2188
3028.11;2186
3028.21;2186
3028.31;2186
3028.41;2188
3028.51;2188
3028.61;2186
3028.71;2185
3028.81;2186
3028.91;2185
3029.01;2188
3029.11;2190
3029.21;2190
3029.31;2190
3029.41;2191
3029.51;2187
3029.61;2184
3029.71;2182
3029.81;2182
3029.91;2183
3030.01;2184
3030.11;2185
3030.21;2184
3030.31;2183
3030.41;2181
3030.51;2181
3030.61;2179
3030.71;2179
3030.81;2176
3030.91;2175
3031.02;2173
3031.12;2170
3031.22;2165
3031.32;2166
3031.42;2163
3031.52;2164
3031.62;2165
3031.72;2167
3031.82;2164
3031.92;2162
3032.02;2158
3032.12;2157
3032.22;2155
3032.32;2154
3032.42;2154
3032.52;2156
3032.62;2151
3032.72;2150
3032.82;2147
3032.92;2144
3033.02;2141
3033.12;2140
3033.22;2139
3033.32;2139
3033.42;2135
3033.52;2134
3033.62;2131
3033.72;2132
3033.82;2132
3033.92;2132
3034.02;2125
3034.12;2128
3034.22;2129
3034.32;2128
3034.42;2126
3034.52;2127
3034.62;2122
3034.72;2123
3034.82;2123
3034.92;2122
3035.02;2119
3035.12;2117
3035.22;2115
3035.32;2115
3035.42;2115
3035.52;2112
3035.62;2113
3035.72;2112
3035.82;2109
3035.92;2105
3036.02;2100
3036.12;2095
3036.22;2094
3036.32;2092
3036.42;2092
3036.52;2093
3036.62;2094
3036.72;2096
3036.82;2098
3036.92;2095
3037.02;2092
3037.12;2091
3037.22;2090
3037.32;2088
3037.42;2088
3037.52;2087
3037.62;2084
3037.72;2078
3037.82;2078
3037.92;2076
3038.02;2074
3038.12;2072
3038.22;2074
3038.32;2063
3038.42;2061
3038.52;2057
3038.62;2053
3038.72;2047
3038.82;2051
3038.92;2052
3039.03;2054
3039.13;2050
3039.23;2047
3039.33;2043
3039.43;2039
3039.53;2036
3039.63;2037
3039.73;2033
3039.83;2029
3039.93;2025
3040.03;2021
3040.13;2016
3040.23;2014
3040.33;2011
3040.43;2008
3040.53;2005
3040.63;2003
3040.73;2000
3040.83;1994
3040.93;1991
3041.03;1989
3041.13;1984
3041.23;1979
3041.33;1975
3041.43;1972
3041.53;1969
3041.63;1967
3041.73;1964
3041.83;1961
3041.93;1959
3042.03;1956
3042.13;1952
3042.23;1947
3042.33;1941
3042.43;1934
3042.53;1932
3042.63;1924
3042.73;1918
3042.83;1913
3042.93;1912
3043.03;1904
3043.13;1899
3043.23;1893
3043.33;1891
3043.43;1885
3043.53;1881
3043.63;1873
3043.73;1872
3043.83;1871
3043.93;1870
3044.03;1868
3044.13;1870
3044.23;1867
3044.33;1865
3044.43;1861
3044.53;1858
3044.63;1851
3044.73;1846
3044.83;1840
3044.93;1834
3045.03;1830
3045.13;1829
3045.23;1823
3045.33;1816
3045.43;1808
3045.53;1801
3045.63;1793
3045.73;1790
3045.83;1783
3045.93;1778
3046.03;1772
3046.13;1769
3046.23;1760
3046.33;1757
3046.43;1751
3046.53;1745
3046.63;1742
3046.73;1737
3046.83;1732
3046.93;1727
3047.04;1721
3047.14;1712
3047.24;1705
3047.34;1694
3047.44;1688
3047.54;1683
3047.64;1677
3047.74;1673
3047.84;1670
3047.94;1667
3048.04;1661
3048.14;1652
3048.24;1646
3048.34;1640
3048.44;1635
3048.54;1628
3048.64;1623
3048.74;1616
3048.84;1609
3048.94;1598
3049.04;1589
3049.14;1581
3049.24;1575
3049.34;1564
3049.44;1559
3049.54;1550
3049.64;1543
3049.74;1534
3049.84;1533
3049.94;1522
3050.04;1516
3050.14;1513
3050.24;1509
3050.34;1503
3050.44;1503
3050.54;1498
3050.64;1494
3050.74;1487
3050.84;1477
3050.94;1467
3051.04;1460
3051.14;1453
3051.24;1444
3051.34;1436
3051.44;1427
3051.54;1420
3051.64;1413
3051.74;1406
3051.84;1401
3051.94;1395
3052.04;1389
3052.14;1384
3052.24;1380
3052.34;1377
3052.44;1373
3052.54;1368
3052.64;1363
3052.74;1357
3052.84;1349
3052.94;1342
3053.04;1337
3053.14;1335
3053.24;1330
3053.34;1321
3053.44;1312
3053.54;1306
3053.64;1294
3053.74;1287
3053.84;1278
3053.94;1274
3054.04;1268
3054.14;1267
3054.24;1262
3054.34;1258
3054.44;1249
3054.54;1247
3054.64;1241
3054.74;1233
3054.84;1222
3054.94;1213
3055.05;1204
3055.15;1199
3055.25;1194
3055.35;1190
3055.45;1187
3055.55;1184
3055.65;1179
3055.75;1175
3055.85;1169
3055.95;1164
3056.05;1160
3056.15;1159
3056.25;1155
3056.35;1151
3056.45;1149
3056.55;1144
3056.65;1142
3056.75;1143
3056.85;1143
3056.95;1140
3057.05;1135
3057.15;1131
3057.25;1123
3057.35;1118
3057.45;1115
3057.55;1115
3057.65;1112
3057.75;1109
3057.85;1107
3057.95;1104
3058.05;1103
3058.15;1104
3058.25;1107
3058.35;1102
3058.45;1099
3058.55;1098
3058.65;1097
3058.75;1095
3058.85;1094
3058.95;1093
3059.05;1097
3059.15;1098
3059.25;1100
3059.35;1101
3059.45;1103
3059.55;1100
3059.65;1101
3059.75;1101
3059.85;1101
3059.95;1098
3060.05;1102
3060.15;1104
3060.25;1108
3060.35;1113
3060.45;1119
3060.55;1118
3060.65;1121
3060.75;1121
3060.85;1123
3060.95;1125
3061.05;1133
3061.15;1136
3061.25;1141
3061.35;1147
3061.45;1157
3061.55;1161
3061.65;1167
3061.75;1172
3061.85;1182
3061.95;1189
3062.05;1194
3062.15;1199
3062.25;1202
3062.35;1209
3062.45;1212
3062.55;1217
3062.65;1222
3062.75;1231
3062.85;1239
3062.95;1247
3063.06;1255
3063.16;1264
3063.26;1270
3063.36;1275
3063.46;1279
3063.56;1290
3063.66;1304
3063.76;1318
3063.86;1335
3063.96;1349
3064.06;1359
3064.16;1372
3064.26;1383
3064.36;1395
3064.46;1402
3064.56;1410
3064.66;1416
3064.76;1430
3064.86;1437
3064.96;1447
3065.06;1456
3065.16;1470
3065.26;1472
3065.36;1481
3065.46;1492
3065.56;1507
3065.66;1516
3065.76;1530
3065.86;1538
3065.96;1547
3066.06;1555
3066.16;1564
3066.26;1574
3066.36;1585
3066.46;1593
3066.56;1606
3066.66;1618
3066.76;1628
3066.86;1640
3066.96;1654
3067.06;1668
3067.16;1682
3067.26;1694
3067.36;1706
3067.46;1717
3067.56;1731
3067.66;1746
3067.76;1760
3067.86;1770
3067.96;1781
3068.06;1795
3068.16;1808
3068.26;1818
3068.36;1830
3068.46;1844
3068.56;1858
3068.66;1872
3068.76;1885
3068.86;1899
3068.96;1907
3069.06;1919
3069.16;1930
3069.26;1940
3069.36;1949
3069.46;1962
3069.56;1969
3069.66;1980
3069.76;1991
3069.86;2005
3069.96;2016
3070.06;2031
3070.16;2044
3070.26;2059
3070.36;2071
3070.46;2085
3070.56;2097
3070.66;2111
3070.76;2120
3070.86;2131
3070.96;2141
3071.07;2152
3071.17;2159
3071.27;2168
3071.37;2176
3071.47;2183
3071.57;2187
3071.67;2196
3071.77;2208
3071.87;2218
3071.97;2226
3072.07;2238
3072.17;2246
3072.27;2254
3072.37;2264
3072.47;2275
3072.57;2282
3072.67;2290
3072.77;2297
3072.87;2307
3072.97;2315
3073.07;2326
3073.17;2333
3073.27;2338
3073.37;2345
3073.47;2353
3073.57;2360
3073.67;2366
3073.77;2375
3073.87;2383
3073.97;2392
3074.07;2398
3074.17;2407
3074.27;2413
3074.37;2421
3074.47;2426
3074.57;2433
3074.67;2440
3074.77;2448
3074.87;2453
3074.97;2458
3075.07;2463
3075.17;2468
3075.27;2474
3075.37;2485
3075.47;2491
3075.57;2494
3075.67;2496
3075.77;2498
3075.87;2501
3075.97;2505
3076.07;2507
3076.17;2510
3076.27;2509
3076.37;2518
3076.47;2523
3076.57;2528
3076.67;2531
3076.77;2536
3076.87;2536
3076.97;2541
3077.07;2547
3077.17;2552
3077.27;2558
3077.37;2563
3077.47;2568
3077.57;2574
3077.67;2579
3077.77;2581
3077.87;2584
3077.97;2586
3078.07;2590
3078.17;2594
3078.27;2597
3078.37;2599
3078.47;2602
3078.57;2606
3078.67;2606
3078.77;2607
3078.87;2606
3078.97;2606
3079.08;2607
3079.18;2608
3079.28;2613
3079.38;2615
3079.48;2616
3079.58;2617
3079.68;2618
3079.78;2620
3079.88;2621
3079.98;2621
3080.08;2623
3080.18;2623
3080.28;2625
3080.38;2625
3080.48;2630
3080.58;2627
3080.68;2628
3080.78;2625
3080.88;2623
3080.98;2620
3081.08;2625
3081.18;2622
3081.28;2623
3081.38;2627
3081.48;2632
3081.58;2632
3081.68;2634
3081.78;2633
3081.88;2636
3081.98;2639
3082.08;2640
3082.18;2642
3082.28;2645
3082.38;2643
3082.48;2641
3082.58;2636
3082.68;2631
3082.78;2625
3082.88;2627
3082.98;2631
3083.08;2632
3083.18;2632
3083.28;2636
3083.38;2642
3083.48;2643
3083.58;2639
3083.68;2638
3083.78;2637
3083.88;2638
3083.98;2643
3084.08;2644
3084.18;2646
3084.28;2644
3084.38;2644
3084.48;2641
3084.58;2634
3084.68;2628
3084.78;2628
3084.88;2625
3084.98;2624
3085.08;2623
3085.18;2624
3085.28;2622
3085.38;2626
3085.48;2624
3085.58;2622
3085.68;2620
3085.78;2619
3085.88;2616
3085.98;2617
3086.08;2614
3086.18;2614
3086.28;2612
3086.38;2613
3086.48;2610
3086.58;2609
3086.68;2610
3086.78;2611
3086.88;2611
3086.98;2612
3087.09;2611
3087.19;2607
3087.29;2606
3087.39;2607
3087.49;2605
3087.59;2608
3087.69;2612
3087.79;2614
3087.89;2611
3087.99;2608
3088.09;2606
3088.19;2606
3088.29;2606
3088.39;2604
3088.49;2601
3088.59;2597
3088.69;2592
3088.79;2588
3088.89;2584
3088.99;2578
3089.09;2577
3089.19;2576
3089.29;2578
3089.39;2579
3089.49;2583
3089.59;2587
3089.69;2590
3089.79;2590
3089.89;2586
3089.99;2581
3090.09;2580
3090.19;2577
3090.29;2575
3090.39;2571
3090.49;2570
3090.59;2569
3090.69;2570
3090.79;2568
3090.89;2564
3090.99;2560
3091.09;2558
3091.19;2552
3091.29;2548
3091.39;2545
3091.49;2542
3091.59;2534
3091.69;2536
3091.79;2534
3091.89;2530
3091.99;2530
3092.09;2535
3092.19;2531
3092.29;2531
3092.39;2528
3092.49;2528
3092.59;2526
3092.69;2524
3092.79;2522
3092.89;2519
3092.99;2513
3093.09;2510
