field,G;intensity,a.u.;I, A
3268.14;2039;0.5
3268.24;2039;0.5
3268.34;2042;0.5
3268.44;2043;0.5
3268.54;2044;0.5
3268.64;2046;0.5
3268.74;2044;0.5
3268.14;2060;0.25
3268.24;2061;0.25
3268.34;2060;0.25
3268.44;2059;0.25
3268.54;2055;0.25
3268.64;2055;0.25
3268.74;2058;0.25
3268.84;2059;0.25
3268.94;2058;0.25
3269.04;2058;0.25
3269.14;2057;0.25
3269.24;2061;0.25
3269.34;2062;0.25
3269.44;2058;0.25
3269.54;2060;0.25
3269.64;2066;0.25
3269.74;2065;0.25
3269.84;2063;0.25
3269.94;2069;0.25
3270.04;2066;0.25
3270.14;2063;0.25
3270.24;2065;0.25
3270.34;2059;0.25
3270.44;2057;0.25
3270.54;2060;0.25
3270.64;2061;0.25
3270.74;2062;0.25
3270.84;2063;0.25
3270.94;2064;0.25
3271.04;2062;0.25
3271.14;2059;0.25
3271.24;2055;0.25
3271.34;2051;0.25
3271.44;2049;0.25
3271.54;2047;0.25
3271.64;2045;0.25
3271.74;2042;0.25
3271.84;2041;0.25
3271.94;2039;0.25
3272.04;2037;0.25
3272.14;2036;0.25
3272.24;2036;0.25
3272.34;2035;0.25
3272.44;2032;0.25
3272.54;2033;0.25
3272.64;2035;0.25
3272.74;2033;0.25
3272.84;2029;0.25
3272.94;2028;0.25
3273.04;2029;0.25
3273.14;2029;0.25
3273.24;2030;0.25
3273.34;2033;0.25
3273.44;2039;0.25
3273.54;2043;0.25
3273.64;2045;0.25
3273.74;2047;0.25
3273.84;2051;0.25
3273.94;2052;0.25
3274.04;2050;0.25
3274.14;2048;0.25
3274.24;2046;0.25
3274.34;2049;0.25
3274.44;2049;0.25
3274.54;2046;0.25
3274.64;2045;0.25
3274.74;2042;0.25
3274.84;2038;0.25
3274.94;2037;0.25
3275.05;2037;0.25
3275.15;2036;0.25
3275.25;2038;0.25
3275.35;2036;0.25
3275.45;2033;0.25
3275.55;2033;0.25
3275.65;2034;0.25
