field,G;intensity,a.u.
3019;3523
3019.1;3526
3019.2;3524
3019.3;3526
3019.4;3525
3019.5;3523
3019.6;3521
3019.7;3522
3019.8;3520
3019.9;3522
3020;3522
3020.1;3524
3020.2;3525
3020.3;3526
3020.4;3529
3020.5;3530
3020.6;3528
3020.7;3528
3020.8;3531
3020.9;3526
3021;3525
3021.1;3525
3021.2;3523
3021.3;3522
3021.4;3521
3021.5;3519
3021.6;3518
3021.7;3516
3021.8;3513
3021.9;3515
3022;3515
3022.1;3517
3022.2;3517
3022.3;3516
3022.4;3517
3022.5;3517
3022.6;3513
3022.7;3512
3022.8;3512
3022.9;3511
3023.01;3512
3023.11;3512
3023.21;3511
3023.31;3509
3023.41;3508
3023.51;3501
3023.61;3504
3023.71;3504
3023.81;3505
3023.91;3507
3024.01;3507
3024.11;3509
3024.21;3509
3024.31;3510
3024.41;3511
3024.51;3514
3024.61;3511
3024.71;3512
3024.81;3513
3024.91;3511
3025.01;3510
3025.11;3508
3025.21;3508
3025.31;3507
3025.41;3507
3025.51;3506
3025.61;3505
3025.71;3502
3025.81;3503
3025.91;3502
3026.01;3498
3026.11;3497
3026.21;3497
3026.31;3495
3026.41;3496
3026.51;3498
3026.61;3497
3026.71;3502
3026.81;3498
3026.91;3499
3027.01;3499
3027.11;3500
3027.21;3498
3027.31;3500
3027.41;3498
3027.51;3498
3027.61;3497
3027.71;3495
3027.81;3498
3027.91;3496
3028.01;3496
3028.11;3496
3028.21;3495
3028.31;3494
3028.41;3497
3028.51;3497
3028.61;3496
3028.71;3496
3028.81;3495
3028.91;3494
3029.01;3491
3029.11;3491
3029.21;3491
3029.31;3490
3029.41;3485
3029.51;3490
3029.61;3490
3029.71;3488
3029.81;3488
3029.91;3489
3030.01;3486
3030.11;3485
3030.21;3486
3030.31;3485
3030.41;3488
3030.51;3487
3030.61;3488
3030.71;3487
3030.81;3487
3030.91;3487
3031.02;3487
3031.12;3487
3031.22;3486
3031.32;3485
3031.42;3485
3031.52;3486
3031.62;3486
3031.72;3486
3031.82;3484
3031.92;3483
3032.02;3482
3032.12;3483
3032.22;3481
3032.32;3481
3032.42;3481
3032.52;3480
3032.62;3481
3032.72;3479
3032.82;3479
3032.92;3477
3033.02;3477
3033.12;3475
3033.22;3479
3033.32;3480
3033.42;3480
3033.52;3480
3033.62;3479
3033.72;3479
3033.82;3479
3033.92;3480
3034.02;3478
3034.12;3478
3034.22;3476
3034.32;3477
3034.42;3473
3034.52;3471
3034.62;3470
3034.72;3469
3034.82;3469
3034.92;3469
3035.02;3470
3035.12;3469
3035.22;3471
3035.32;3469
3035.42;3474
3035.52;3474
3035.62;3476
3035.72;3477
3035.82;3478
3035.92;3477
3036.02;3475
3036.12;3474
3036.22;3473
3036.32;3475
3036.42;3471
3036.52;3471
3036.62;3470
3036.72;3470
3036.82;3469
3036.92;3468
3037.02;3469
3037.12;3466
3037.22;3466
3037.32;3465
3037.42;3463
3037.52;3461
3037.62;3463
3037.72;3462
3037.82;3460
3037.92;3460
3038.02;3464
3038.12;3461
3038.22;3460
3038.32;3461
3038.42;3461
3038.52;3463
3038.62;3462
3038.72;3467
3038.82;3465
3038.92;3464
3039.03;3461
3039.13;3463
3039.23;3462
3039.33;3462
3039.43;3462
3039.53;3460
3039.63;3462
3039.73;3461
3039.83;3461
3039.93;3459
3040.03;3457
3040.13;3456
3040.23;3458
3040.33;3456
3040.43;3455
3040.53;3453
3040.63;3452
3040.73;3450
3040.83;3448
3040.93;3448
3041.03;3448
3041.13;3448
3041.23;3444
3041.33;3447
3041.43;3445
3041.53;3444
3041.63;3445
3041.73;3448
3041.83;3443
3041.93;3443
3042.03;3443
3042.13;3443
3042.23;3444
3042.33;3443
3042.43;3446
3042.53;3442
3042.63;3443
3042.73;3443
3042.83;3441
3042.93;3442
3043.03;3443
3043.13;3444
3043.23;3445
3043.33;3447
3043.43;3446
3043.53;3446
3043.63;3444
3043.73;3442
3043.83;3443
3043.93;3444
3044.03;3443
3044.13;3444
3044.23;3442
3044.33;3441
3044.43;3441
3044.53;3437
3044.63;3436
3044.73;3435
3044.83;3433
3044.93;3429
3045.03;3433
3045.13;3432
3045.23;3432
3045.33;3431
3045.43;3428
3045.53;3429
3045.63;3425
3045.73;3428
3045.83;3430
3045.93;3430
3046.03;3430
3046.13;3433
