field,G;intensity,a.u.
3019;2537
3019.1;2537
3019.2;2537
3019.3;2536
3019.4;2535
3019.5;2534
3019.6;2531
3019.7;2533
3019.8;2530
3019.9;2528
3020;2526
3020.1;2525
3020.2;2529
3020.3;2527
3020.4;2526
3020.5;2526
3020.6;2528
3020.7;2534
3020.8;2530
3020.9;2532
3021;2529
3021.1;2524
3021.2;2525
3021.3;2523
3021.4;2527
3021.5;2528
3021.6;2528
3021.7;2529
3021.8;2527
3021.9;2528
3022;2525
3022.1;2523
3022.2;2522
3022.3;2524
3022.4;2525
3022.5;2524
3022.6;2526
3022.7;2525
3022.8;2528
3022.9;2537
3023.01;2534
3023.11;2536
3023.21;2533
3023.31;2530
3023.41;2533
3023.51;2528
3023.61;2527
3023.71;2528
3023.81;2529
3023.91;2528
3024.01;2526
3024.11;2527
3024.21;2526
3024.31;2528
3024.41;2529
3024.51;2534
3024.61;2540
3024.71;2539
3024.81;2539
3024.91;2539
3025.01;2539
3025.11;2545
3025.21;2542
3025.31;2544
3025.41;2544
3025.51;2541
3025.61;2540
3025.71;2531
3025.81;2527
3025.91;2522
3026.01;2520
3026.11;2520
3026.21;2521
3026.31;2522
3026.41;2521
3026.51;2522
3026.61;2524
3026.71;2526
3026.81;2534
3026.91;2535
3027.01;2538
3027.11;2539
3027.21;2540
3027.31;2544
3027.41;2537
3027.51;2534
3027.61;2532
3027.71;2532
3027.81;2533
3027.91;2532
3028.01;2530
3028.11;2531
3028.21;2531
3028.31;2531
3028.41;2532
3028.51;2534
3028.61;2534
3028.71;2535
3028.81;2535
3028.91;2534
3029.01;2536
3029.11;2533
3029.21;2532
3029.31;2529
3029.41;2527
3029.51;2532
3029.61;2530
3029.71;2533
3029.81;2535
3029.91;2536
3030.01;2538
3030.11;2536
3030.21;2533
3030.31;2530
3030.41;2528
3030.51;2528
3030.61;2528
3030.71;2528
3030.81;2527
3030.91;2526
3031.02;2529
3031.12;2534
3031.22;2539
3031.32;2540
3031.42;2539
3031.52;2537
3031.62;2538
3031.72;2544
3031.82;2537
3031.92;2533
3032.02;2529
3032.12;2525
3032.22;2525
3032.32;2521
3032.42;2518
3032.52;2517
3032.62;2516
3032.72;2513
3032.82;2511
3032.92;2510
3033.02;2509
3033.12;2510
3033.22;2511
3033.32;2512
3033.42;2517
3033.52;2516
3033.62;2515
3033.72;2514
3033.82;2512
3033.92;2516
3034.02;2513
3034.12;2517
3034.22;2522
3034.32;2525
3034.42;2533
3034.52;2536
3034.62;2537
3034.72;2536
3034.82;2537
3034.92;2533
3035.02;2529
3035.12;2527
3035.22;2525
3035.32;2524
3035.42;2523
3035.52;2520
3035.62;2518
3035.72;2514
3035.82;2514
3035.92;2514
3036.02;2514
3036.12;2521
3036.22;2519
3036.32;2521
3036.42;2521
3036.52;2518
3036.62;2517
3036.72;2515
3036.82;2518
3036.92;2520
3037.02;2520
3037.12;2520
3037.22;2520
3037.32;2521
3037.42;2517
3037.52;2517
3037.62;2517
3037.72;2516
3037.82;2520
3037.92;2517
3038.02;2518
3038.12;2522
3038.22;2526
3038.32;2533
3038.42;2530
3038.52;2531
3038.62;2531
3038.72;2530
3038.82;2530
3038.92;2530
3039.03;2529
3039.13;2530
3039.23;2530
3039.33;2528
3039.43;2523
3039.53;2518
3039.63;2514
3039.73;2511
3039.83;2511
3039.93;2513
3040.03;2516
3040.13;2513
3040.23;2515
3040.33;2516
3040.43;2519
3040.53;2524
3040.63;2516
3040.73;2515
3040.83;2513
3040.93;2513
3041.03;2519
3041.13;2519
3041.23;2519
3041.33;2518
3041.43;2516
3041.53;2519
3041.63;2521
3041.73;2524
3041.83;2526
3041.93;2526
3042.03;2526
3042.13;2526
3042.23;2527
3042.33;2524
3042.43;2521
3042.53;2517
3042.63;2512
3042.73;2514
3042.83;2506
3042.93;2505
3043.03;2507
3043.13;2508
3043.23;2510
3043.33;2511
3043.43;2513
3043.53;2515
3043.63;2517
3043.73;2518
3043.83;2520
3043.93;2523
3044.03;2521
3044.13;2520
3044.23;2522
3044.33;2527
3044.43;2532
3044.53;2532
3044.63;2530
3044.73;2529
3044.83;2528
3044.93;2532
3045.03;2527
3045.13;2526
3045.23;2526
3045.33;2525
3045.43;2525
3045.53;2529
3045.63;2532
3045.73;2534
3045.83;2534
3045.93;2535
3046.03;2537
3046.13;2542
3046.23;2542
