field,G;intensity,a.u.
3019;2193
3019.1;2171
3019.2;2147
3019.3;2133
3019.4;2126
3019.5;2126
3019.6;2127
3019.7;2119
3019.8;2115
3019.9;2127
3020;2130
3020.1;2128
3020.2;2120
3020.3;2124
3020.4;2103
3020.5;2097
3020.6;2086
3020.7;2072
3020.8;2070
3020.9;2071
3021;2076
3021.1;2075
3021.2;2085
3021.3;2089
3021.4;2109
3021.5;2126
3021.6;2129
3021.7;2130
3021.8;2120
3021.9;2121
3022;2126
3022.1;2128
3022.2;2132
3022.3;2144
3022.4;2158
3022.5;2179
3022.6;2190
3022.7;2192
3022.8;2210
3022.9;2234
3023.01;2237
3023.11;2237
3023.21;2221
3023.31;2220
3023.41;2205
3023.51;2183
3023.61;2170
3023.71;2152
3023.81;2143
3023.91;2135
3024.01;2124
3024.11;2117
3024.21;2120
3024.31;2110
3024.41;2108
3024.51;2118
3024.61;2135
3024.71;2145
3024.81;2153
3024.91;2155
3025.01;2148
3025.11;2141
3025.21;2130
3025.31;2113
3025.41;2092
3025.51;2077
3025.61;2054
3025.71;2055
3025.81;2069
3025.91;2083
3026.01;2086
3026.11;2088
3026.21;2075
3026.31;2083
3026.41;2094
3026.51;2109
3026.61;2126
3026.71;2142
3026.81;2157
3026.91;2160
3027.01;2152
3027.11;2162
3027.21;2176
3027.31;2189
3027.41;2195
3027.51;2186
3027.61;2172
3027.71;2153
3027.81;2143
3027.91;2151
3028.01;2168
3028.11;2188
3028.21;2191
3028.31;2176
3028.41;2165
3028.51;2163
3028.61;2148
3028.71;2132
3028.81;2114
3028.91;2097
3029.01;2091
3029.11;2087
3029.21;2091
3029.31;2100
3029.41;2109
3029.51;2113
3029.61;2118
3029.71;2118
3029.81;2120
3029.91;2117
3030.01;2104
3030.11;2082
3030.21;2072
3030.31;2067
3030.41;2058
3030.51;2054
3030.61;2056
3030.71;2060
3030.81;2070
3030.91;2075
3031.02;2078
3031.12;2076
3031.22;2093
3031.32;2116
3031.42;2131
3031.52;2135
3031.62;2121
3031.72;2118
3031.82;2111
3031.92;2106
3032.02;2107
3032.12;2103
3032.22;2096
3032.32;2107
3032.42;2114
3032.52;2113
3032.62;2107
3032.72;2088
3032.82;2077
3032.92;2084
3033.02;2085
3033.12;2091
3033.22;2102
3033.32;2118
3033.42;2126
3033.52;2129
3033.62;2145
3033.72;2142
3033.82;2135
3033.92;2138
3034.02;2139
3034.12;2139
3034.22;2136
3034.32;2135
3034.42;2131
3034.52;2133
3034.62;2115
3034.72;2099
3034.82;2081
3034.92;2081
3035.02;2099
3035.12;2111
3035.22;2132
3035.32;2148
3035.42;2162
3035.52;2188
3035.62;2187
3035.72;2176
3035.82;2163
3035.92;2156
3036.02;2147
3036.12;2140
3036.22;2118
3036.32;2093
3036.42;2085
3036.52;2076
3036.62;2087
3036.72;2093
3036.82;2105
3036.92;2115
3037.02;2119
3037.12;2126
3037.22;2122
3037.32;2111
3037.42;2108
3037.52;2095
3037.62;2071
3037.72;2051
3037.82;2048
3037.92;2060
3038.02;2072
3038.12;2073
3038.22;2079
3038.32;2089
3038.42;2099
3038.52;2112
3038.62;2122
3038.72;2116
3038.82;2107
3038.92;2114
3039.03;2116
3039.13;2119
3039.23;2118
3039.33;2110
3039.43;2115
3039.53;2116
3039.63;2111
3039.73;2098
3039.83;2090
3039.93;2073
3040.03;2058
3040.13;2052
3040.23;2044
3040.33;2046
3040.43;2054
3040.53;2059
3040.63;2058
3040.73;2056
3040.83;2062
3040.93;2066
3041.03;2067
3041.13;2066
3041.23;2071
3041.33;2080
3041.43;2090
3041.53;2082
3041.63;2063
3041.73;2040
3041.83;2019
3041.93;2006
3042.03;2004
3042.13;2015
3042.23;2014
3042.33;2020
3042.43;2018
3042.53;2005
3042.63;2000
3042.73;2008
3042.83;2021
3042.93;2031
3043.03;2034
3043.13;2038
3043.23;2032
3043.33;2018
3043.43;2016
3043.53;2012
3043.63;2013
3043.73;2015
3043.83;2005
3043.93;1994
3044.03;1983
3044.13;1988
3044.23;1994
3044.33;1990
3044.43;1988
3044.53;1994
3044.63;1992
3044.73;1986
3044.83;1978
3044.93;1982
3045.03;1990
3045.13;1991
3045.23;1990
3045.33;1990
3045.43;1985
3045.53;1976
3045.63;1970
3045.73;1984
3045.83;1995
3045.93;2000
3046.03;2015
3046.13;2027
3046.23;2041
3046.33;2057
3046.43;2075
3046.53;2082
3046.63;2069
3046.73;2041
3046.83;2017
3046.93;2012
3047.04;1991
3047.14;1967
3047.24;1958
3047.34;1962
3047.44;1972
3047.54;1965
3047.64;1955
3047.74;1964
3047.84;1963
3047.94;1944
3048.04;1925
3048.14;1916
3048.24;1903
3048.34;1895
3048.44;1887
3048.54;1879
3048.64;1882
3048.74;1893
3048.84;1901
3048.94;1889
3049.04;1884
3049.14;1873
3049.24;1862
3049.34;1856
3049.44;1843
3049.54;1827
3049.64;1806
3049.74;1796
3049.84;1796
